Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Battery 3.7 110mah","the battery of the keyboard",2,8.87,"https://www.aliexpress.com/item/1005011794722407.html?spm=a2g0o.productlist.main.5.1f03zJaCzJaCg1&algo_pvid=99f26044-3b29-4a06-8196-f766333e9432&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011794722407%7C_p_origin_prod%3A","aliexpress"
"Keycaps","Keyboard keycaps",134,10.13,"https://www.aliexpress.com/item/1005009767180608.html","aliexpress"
" MSK-12D19","Slideing switch",20,2.05,"https://www.aliexpress.com/item/1005009651088272.html","aliexpress"
"Switches","Akko Rosewood",45,22.03,"https://www.aliexpress.com/item/1005007260614950.html?spm=a2g0o.productlist.main.4.3bdcCK5VCK5VdT&algo_pvid=081f7d0f-bc82-455b-bb88-e25dfcd671ed&pdp_ext_f=%7B%22order%22%3A%223194%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007260614950%7C_p_origin_prod%3A","aliepxress"
"Reset Button","Reset button",10,2.70,"https://www.aliexpress.com/item/1005009739698023.html?spm=a2g0o.order_list.order_list_main.407.1f221802utPbJq","aliexpress"
"SK6812 MINI-E RGB ","RGBBBBBB",50,3.86,"https://www.aliexpress.com/item/1005005193716172.html?spm=a2g0o.productlist.main.2.794811c7TB3G9h&algo_pvid=96617496-0848-4f4b-9700-69b8f2b49429&pdp_ext_f=%7B%22order%22%3A%22334%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005193716172%7C_p_origin_prod%3A","aliexpress"
"1N4148W T4 SOD-123 ","Diodes",100,3.18,"https://www.aliexpress.com/item/1005007160563285.html?spm=a2g0o.order_list.order_list_main.23.e3321802u2Z0La","aliexpress"
"Hotswap sockets","Easy reaple switches",50,10.13,"https://www.aliexpress.com/item/1005009254258549.html?spm=a2g0o.productlist.main.12.62d78369bEAZ0x&aem_p4p_detail=20260315184035447128891964000001706540&algo_pvid=d8b47438-0b07-4b79-bd1c-7a22d79fa81d&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009254258549%7C_p_origin_prod%3A&search_p4p_id=20260315184035447128891964000001706540_3","aliexpress"
"Oled 0.91"" ","Oled display",2,5.52,"https://www.aliexpress.com/item/1005011783382489.html?spm=a2g0o.productlist.main.8.1d974e52BuygSN&aem_p4p_detail=202603151833368379950906580660001703710&algo_pvid=88239ded-09d6-46fe-95d1-153687a64987&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011783382489%7C_p_origin_prod%3A&search_p4p_id=202603151833368379950906580660001703710_3","aliexpress"
"Super mini NRF52840","The microcontroller ",2,5.30,"https://www.aliexpress.com/item/1005007078900079.html?spm=a2g0o.productlist.main.16.795667caKlDGZe&algo_pvid=c8b821c1-4b61-4a58-b08a-2f60a4365370&pdp_ext_f=%7B%22order%22%3A%22323%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007078900079%7C_p_origin_prod%3A#nav-description","aliexpress"